Conso;Glacage;Fourrage;Eclair;App glacage;Evocation glacage;Attentes gustatives;Int Chocolat;Sucre;Lait;Amer;Ressenti;Liking;Sexe;Age;CSP;Conso Patisseries;Attrait Patisseries;Difficulte Epreuve
6;Gmoyen;Ffort;Gmoyen_Ffort;6;peu_chocolate,tres_sucre,trop_pale;equilibre,chocolat,amer,fondant;3;4;3;3;agreablement surpris;6;F;35/49;professions liberales et cadres superieurs;occasionnellement;7;3
6;Gmoyen;Ffaible;Gmoyen_Ffaible;6;peu_chocolate,tres_sucre,trop_pale;equilibre,chocolat,amer,fondant;3;4;3;3;agreablement surpris;6;F;35/49;professions liberales et cadres superieurs;occasionnellement;7;3
6;Gclair;Ffort;Gclair_Ffort;0;cafe,caramel,pas_de_chocolat;sucre,essentiellement,peu_chocolate;1;4;3;1;decu;0;F;35/49;professions liberales et cadres superieurs;occasionnellement;7;3
6;Gclair;Ffaible;Gclair_Ffaible;0;cafe,caramel,pas_de_chocolat;sucre,essentiellement,peu_chocolate;2;5;3;1;decu;0;F;35/49;professions liberales et cadres superieurs;occasionnellement;7;3
6;Gclair;Fmoyen;Gclair_Fmoyen;0;cafe,caramel,pas_de_chocolat;sucre,essentiellement,peu_chocolate;3;4;3;2;decu;1;F;35/49;professions liberales et cadres superieurs;occasionnellement;7;3
6;Gfonce;Ffort;Gfonce_Ffort;10;intense,chocolat,amer;gout,chocolat,marque,peu_sucre,intense,en,sensation;3;4;3;2;decu;6;F;35/49;professions liberales et cadres superieurs;occasionnellement;7;3
6;Gfonce;Ffaible;Gfonce_Ffaible;10;intense,chocolat,amer;gout,chocolat,marque,peu_sucre,intense,en,sensation;3;4;3;2;decu;6;F;35/49;professions liberales et cadres superieurs;occasionnellement;7;3
6;Gfonce;Fmoyen;Gfonce_Fmoyen;10;intense,chocolat,amer;gout,chocolat,marque,peu_sucre,intense,en,sensation;3;3;3;3;je m attendais a ca;9;F;35/49;professions liberales et cadres superieurs;occasionnellement;7;3
7;Gfonce;Fmoyen;Gfonce_Fmoyen;8;intense,fort_en_chocolat,fort_en_cacao,classique;gout,chocolat,prononce,intense,fort_en_cacao,peu_sucre;3;4;4;2;decu;6;F;18/24;etudiants;regulierement;10;3
7;Gfonce;Ffort;Gfonce_Ffort;8;intense,fort_en_chocolat,fort_en_cacao,classique;gout,chocolat,prononce,intense,fort_en_cacao,peu_sucre;1;5;5;1;tres decu;2;F;18/24;etudiants;regulierement;10;3
7;Gfonce;Ffaible;Gfonce_Ffaible;8;intense,fort_en_chocolat,fort_en_cacao,classique;gout,chocolat,prononce,intense,fort_en_cacao,peu_sucre;1;4;5;1;decu;4;F;18/24;etudiants;regulierement;10;3
7;Gclair;Fmoyen;Gclair_Fmoyen;6;chocolat_au_lait,cafe,indefinie;chocolat_au_lait,assez,sucre,gout,relativement,intense;3;4;3;3;je m attendais a ca;3;F;18/24;etudiants;regulierement;10;3
7;Gclair;Ffaible;Gclair_Ffaible;6;chocolat_au_lait,cafe,indefinie;chocolat_au_lait,assez,sucre,gout,relativement,intense;4;3;2;4;agreablement surpris;7;F;18/24;etudiants;regulierement;10;3
7;Gclair;Ffort;Gclair_Ffort;6;chocolat_au_lait,cafe,indefinie;chocolat_au_lait,assez,sucre,gout,relativement,intense;2;3;5;3;decu;3;F;18/24;etudiants;regulierement;10;3
7;Gmoyen;Fmoyen;Gmoyen_Fmoyen;4;eclair_au_cafe;fourrage,au,cafe,chocolat_au_lait,tres_sucre,tres_lacte;5;2;2;4;tres agreablement surpris;9;F;18/24;etudiants;regulierement;10;3
