Conso;Glacage;Fourrage;Eclair;App glacage;Attentes gustatives;Int Chocolat;Sucre;Lait;Ressenti;Liking;Difficulte Epreuve;Age enfant;Age parent
12;Gmoyen;Fmoyen;Gmoyen_Fmoyen;10;j_aime,caramel;3;3;3;agreablement surpris;10;0;9;42
12;Gmoyen;Ffaible;Gmoyen_Ffaible;10;j_aime,caramel;2;5;4;un peu decu;5;0;9;42
12;Gfonce;Ffaible;Gfonce_Ffaible;10;bon,chocolat;3;2;4;agreablement surpris;10;0;9;42
12;Gfonce;Ffort;Gfonce_Ffort;10;bon,chocolat;5;3;2;un peu decu;4;0;9;42
12;Gfonce;Fmoyen;Gfonce_Fmoyen;10;bon,chocolat;3;3;5;je m attendais a ca;7;0;9;42
12;Gclair;Ffaible;Gclair_Ffaible;10;pas_belle_couleur,cafe;1;5;4;tres agreablement surpris;4;0;9;42
12;Gclair;Fmoyen;Gclair_Fmoyen;10;pas_belle_couleur,cafe;3;4;4;je m attendais a ca;8;0;9;42
12;Gclair;Ffort;Gclair_Ffort;10;pas_belle_couleur,cafe;5;3;1;tres decu;1;0;9;42
13;Gmoyen;Ffaible;Gmoyen_Ffaible;3;pas_assez_de_chocolat;1;2;4;agreablement surpris;9;5;7;42
13;Gmoyen;Ffort;Gmoyen_Ffort;3;pas_assez_de_chocolat;5;3;2;je m attendais a ca;8;5;7;42
13;Gmoyen;Fmoyen;Gmoyen_Fmoyen;3;pas_assez_de_chocolat;2;4;2;agreablement surpris;10;5;7;42
13;Gfonce;Ffaible;Gfonce_Ffaible;9;bon,assez_de_chocolat;2;2;4;un peu decu;9;5;7;42
13;Gfonce;Fmoyen;Gfonce_Fmoyen;9;bon,assez_de_chocolat;2;4;3;agreablement surpris;10;5;7;42
13;Gfonce;Ffort;Gfonce_Ffort;9;bon,assez_de_chocolat;2;3;4;je m attendais a ca;10;5;7;42
13;Gclair;Ffaible;Gclair_Ffaible;0;pas_assez_de_lait;2;1;4;agreablement surpris;9;5;7;42
13;Gclair;Fmoyen;Gclair_Fmoyen;0;pas_assez_de_lait;4;2;4;tres agreablement surpris;10;5;7;42
13;Gclair;Ffort;Gclair_Ffort;0;pas_assez_de_lait;3;4;2;agreablement surpris;10;5;7;42
13b;Gmoyen;Ffaible;Gmoyen_Ffaible;6;chocolat_au_lait;4;3;3;je m attendais a ca;10;7;7;42
13b;Gmoyen;Ffort;Gmoyen_Ffort;6;chocolat_au_lait;4;4;3;je m attendais a ca;7;7;7;42
13b;Gmoyen;Fmoyen;Gmoyen_Fmoyen;6;chocolat_au_lait;3;3;3;je m attendais a ca;9;7;7;42
13b;Gfonce;Ffaible;Gfonce_Ffaible;10;chocolat_noir,tres_bon;3;3;3;je m attendais a ca;10;7;7;42
13b;Gfonce;Fmoyen;Gfonce_Fmoyen;10;chocolat_noir,tres_bon;3;3;3;je m attendais a ca;10;7;7;42
13b;Gfonce;Ffort;Gfonce_Ffort;10;chocolat_noir,tres_bon;3;3;3;je m attendais a ca;10;7;7;42
13b;Gclair;Ffaible;Gclair_Ffaible;0;cafe;3;3;3;je m attendais a ca;8;7;7;42
13b;Gclair;Fmoyen;Gclair_Fmoyen;0;cafe;3;4;3;je m attendais a ca;9;7;7;42
13b;Gclair;Ffort;Gclair_Ffort;0;cafe;4;3;3;je m attendais a ca;8;7;7;42
14;Gmoyen;Ffort;Gmoyen_Ffort;8;sucre,chocolat_au_lait,fondant,froid;4;3;2;tres agreablement surpris;9;2;10;44
14;Gmoyen;Fmoyen;Gmoyen_Fmoyen;8;sucre,chocolat_au_lait,fondant,froid;5;4;3;agreablement surpris;8;2;10;44
14;Gmoyen;Ffaible;Gmoyen_Ffaible;8;sucre,chocolat_au_lait,fondant,froid;4;5;3;tres agreablement surpris;10;2;10;44
14;Gfonce;Ffaible;Gfonce_Ffaible;9;j_aime_beaucoup,tres_bon,tres_chocolat,peu_sucre,croquant;4;3;2;agreablement surpris;9;2;10;44
14;Gfonce;Fmoyen;Gfonce_Fmoyen;9;j_aime_beaucoup,tres_bon,tres_chocolat,peu_sucre,croquant;4;5;3;tres agreablement surpris;10;2;10;44
14;Gfonce;Ffort;Gfonce_Ffort;9;j_aime_beaucoup,tres_bon,tres_chocolat,peu_sucre,croquant;5;5;4;tres agreablement surpris;10;2;10;44
14;Gclair;Ffaible;Gclair_Ffaible;7;peu_chocolat,tres_lait,tres_sucre;2;3;3;je m attendais a ca;7;2;10;44
14;Gclair;Fmoyen;Gclair_Fmoyen;7;peu_chocolat,tres_lait,tres_sucre;4;3;2;agreablement surpris;9;2;10;44
14;Gclair;Ffort;Gclair_Ffort;7;peu_chocolat,tres_lait,tres_sucre;4;3;5;un peu decu;6;2;10;44
15;Gmoyen;Fmoyen;Gmoyen_Fmoyen;8;chocolat,bon;3;3;3;un peu decu;8;2;10;42
15;Gmoyen;Ffort;Gmoyen_Ffort;8;chocolat,bon;3;4;3;agreablement surpris;7;2;10;42
15;Gmoyen;Ffaible;Gmoyen_Ffaible;8;chocolat,bon;3;4;4;un peu decu;5;2;10;42
15;Gclair;Ffort;Gclair_Ffort;3;cafe,j_aime_pas;4;3;3;tres agreablement surpris;6;2;10;42
15;Gclair;Ffaible;Gclair_Ffaible;3;cafe,j_aime_pas;1;4;4;un peu decu;3;2;10;42
15;Gclair;Fmoyen;Gclair_Fmoyen;3;cafe,j_aime_pas;4;3;3;un peu decu;3;2;10;42
15;Gfonce;Ffort;Gfonce_Ffort;5;chocolat;4;3;3;je m attendais a ca;5;2;10;42
15;Gfonce;Ffaible;Gfonce_Ffaible;5;chocolat;2;4;4;un peu decu;3;2;10;42
15;Gfonce;Fmoyen;Gfonce_Fmoyen;5;chocolat;3;3;4;un peu decu;3;2;10;42
16;Gmoyen;Fmoyen;Gmoyen_Fmoyen;9;j_aime;3;2;3;agreablement surpris;10;1;10;42
16;Gmoyen;Ffaible;Gmoyen_Ffaible;9;j_aime;3;3;2;tres agreablement surpris;9;1;10;42
16;Gmoyen;Ffort;Gmoyen_Ffort;9;j_aime;5;1;2;un peu decu;6;1;10;42
16;Gclair;Ffaible;Gclair_Ffaible;10;j_aime_pas,cafe;2;3;3;agreablement surpris;10;1;10;42
16;Gclair;Fmoyen;Gclair_Fmoyen;10;j_aime_pas,cafe;3;3;3;je m attendais a ca;9;1;10;42
16;Gclair;Ffort;Gclair_Ffort;10;j_aime_pas,cafe;3;2;2;agreablement surpris;10;1;10;42
16;Gfonce;Ffort;Gfonce_Ffort;10;magnifique,j_aime;4;2;2;un peu decu;8;1;10;42
16;Gfonce;Fmoyen;Gfonce_Ffaible;10;magnifique,j_aime;3;3;3;tres agreablement surpris;10;1;10;42
16;Gfonce;Ffaible;Gfonce_Fmoyen;10;magnifique,j_aime;3;2;2;agreablement surpris;10;1;10;42
